Transformation,Beer_3_Full1,batch1_Std_1_1,batch1_Std_1_2,batch1_Std_2_2,batch1_Std_2_1,Urine_37_fullscan1_NEG
M-H,0.308080808081,0.332764505119,0.339794754846,0.344131704727,0.332962757087,0.317208016586
M-H[2C13],0.048951048951,0.0523321956769,0.0587229190422,0.0462028677642,0.0422456920511,0.0483759502419
M-H[C13],0.180652680653,0.200227531286,0.206955530217,0.195963887414,0.186770428016,0.177263303386
M+CH2O2-H,0.040404040404,0.0369738339022,0.0296465222349,0.0419543281997,0.047248471373,0.0310988251555
M+ACN-H,0.032634032634,0.0193401592719,0.0216647662486,0.0260223048327,0.0389105058366,0.0297166551486
M+ACN-H[2C13],0.000777000777001,0.0,0.0,0.0,0.000555864369094,0.000691085003455
M+CH2O2-H[C13],0.004662004662,0.00682593856655,0.00513112884835,0.00584174190122,0.00444691495275,0.00207325501037
M+CH2O2-H[2C13],0.0,0.0,0.0,0.0,0.00111172873819,0.00103662750518
M+ACN-H[C13],0.0042735042735,0.00170648464164,0.000570125427594,0.0015932023367,0.00389105058366,0.00310988251555
2M-H,0.0135975135975,0.00170648464164,0.00798175598632,0.00477960701009,0.00611450806003,0.0127850725639
M+NH3-H,0.020979020979,0.0125142207053,0.0119726339795,0.0217737652682,0.0200111172874,0.0214236351071
[M-H2O]-H,0.047397047397,0.0580204778157,0.0541619156214,0.0472650026553,0.053362979433,0.0539046302695
M-2H,0.02331002331,0.0028441410694,0.00171037628278,0.00477960701009,0.00333518621456,0.0317899101589
[M-CO2]-H,0.0578865578866,0.0830489192264,0.078677309008,0.0780669144981,0.0894941634241,0.06599861783
[M-CO]-H,0.0423465423465,0.037542662116,0.0387685290764,0.0419543281997,0.0444691495275,0.043192812716
[M-CO2]-H[C13],0.00738150738151,0.0182025028441,0.0171037628278,0.0106213489113,0.0127848804892,0.00829302004147
M-2H[2C13],0.002331002331,0.0,0.0,0.0,0.0,0.00172771250864
M-2H[C13],0.004662004662,0.0,0.0,0.000531067445566,0.0,0.00898410504492
2M-H[2C13],0.0,0.0,0.000570125427594,0.0,0.0,0.0
M+NH3-H[2C13],0.0,0.0,0.0,0.000531067445566,0.0,0.0
[M-CO]-H[2C13],0.0003885003885,0.000568828213879,0.0,0.0,0.000555864369094,0.00138217000691
[M-H2O]-H[C13],0.00815850815851,0.00853242320819,0.00684150513113,0.00849707912905,0.00722623679822,0.00518313752592
2M-H[C13],0.000777000777001,0.0,0.0,0.0,0.0,0.00207325501037
[M-CO2]-H[2C13],0.002331002331,0.00625711035267,0.00627137970353,0.00106213489113,0.00166759310728,0.00449205252246
[M-CO]-H[C13],0.00505050505051,0.00511945392491,0.00285062713797,0.00212426978226,0.00333518621456,0.00518313752592
[M-H2O]-H[2C13],0.000777000777001,0.00341296928328,0.00285062713797,0.000531067445566,0.000555864369094,0.00138217000691
M+NH3-H[C13],0.000777000777001,0.00227531285552,0.00114025085519,0.0015932023367,0.000555864369094,0.000345542501728
[M-H2O]+ACN-H,0.012432012432,0.00341296928328,0.00684150513113,0.00584174190122,0.00555864369094,0.00587422252937
[M-H2O]+CH2O2-H,0.00815850815851,0.00568828213879,0.00741163055872,0.00584174190122,0.00389105058366,0.0062197650311
[M-CO]+CH2O2-H,0.013986013986,0.0147895335609,0.0142531356899,0.0138077535847,0.00833796553641,0.0110573600553
[M-CO]+ACN-H,0.00893550893551,0.00568828213879,0.00513112884835,0.00849707912905,0.00833796553641,0.00725639253628
[M-CO2]+CH2O2-H,0.022533022533,0.0227531285552,0.0205245153934,0.0270844397238,0.0244580322401,0.0234968901175
[M-CO2]+ACN-H,0.00582750582751,0.00455062571104,0.00342075256556,0.00902814657461,0.00611450806003,0.00691085003455
[M-H2O]+ACN-H[C13],0.002331002331,0.0,0.0,0.00106213489113,0.000555864369094,0.000345542501728
[M-CO2]+ACN-H[2C13],0.0,0.0,0.0,0.0,0.0,0.0
[M-H2O]+CH2O2-H[C13],0.000777000777001,0.000568828213879,0.00114025085519,0.0,0.0,0.000345542501728
[M-CO]+ACN-H[2C13],0.0,0.0,0.0,0.000531067445566,0.0,0.000345542501728
[M-H2O]+CH2O2-H[2C13],0.0,0.000568828213879,0.000570125427594,0.0,0.0,0.0
[M-CO]+ACN-H[C13],0.002331002331,0.0,0.0,0.0,0.000555864369094,0.00103662750518
[M-CO2]+CH2O2-H[C13],0.004662004662,0.00455062571104,0.00570125427594,0.00265533722783,0.00389105058366,0.00207325501037
[M-CO2]+CH2O2-H[2C13],0.0003885003885,0.000568828213879,0.0,0.00106213489113,0.000555864369094,0.0
[M-CO2]+ACN-H[C13],0.0003885003885,0.000568828213879,0.000570125427594,0.0,0.000555864369094,0.000345542501728
[M-CO]+CH2O2-H[C13],0.001554001554,0.00398179749716,0.00342075256556,0.000531067445566,0.000555864369094,0.00172771250864
[M-H2O]+ACN-H[2C13],0.0003885003885,0.0,0.0,0.0,0.0,0.0
[M-CO]+CH2O2-H[2C13],0.000777000777001,0.000568828213879,0.0,0.0,0.000555864369094,0.00103662750518
[M-CO]-H-H,0.003885003885,0.00113765642776,0.00342075256556,0.00265533722783,0.00111172873819,0.00414651002073
[M-CO2]-H-H,0.002331002331,0.00170648464164,0.00228050171038,0.00212426978226,0.00222345747638,0.00449205252246
[M-H2O]-H-H,0.00660450660451,0.00170648464164,0.00171037628278,0.00265533722783,0.00166759310728,0.00449205252246
[M-H2O]+NH3-H,0.0135975135975,0.00967007963595,0.00912200684151,0.0100902814657,0.0111172873819,0.00656530753283
[2M-CO2]-H,0.0042735042735,0.00398179749716,0.00171037628278,0.000531067445566,0.00222345747638,0.00656530753283
[M-CO]+NH3-H,0.00738150738151,0.00739476678043,0.00798175598632,0.0111524163569,0.00722623679822,0.0062197650311
[2M-CO]-H,0.003885003885,0.00455062571104,0.00399087799316,0.00318640467339,0.00277932184547,0.00345542501728
[M-CO2]+NH3-H,0.00543900543901,0.0028441410694,0.00342075256556,0.00371747211896,0.00333518621456,0.00760193503801
[2M-H2O]-H,0.004662004662,0.00341296928328,0.00228050171038,0.000531067445566,0.00222345747638,0.00552868002764
[M-CO2]+NH3-H[C13],0.0,0.00113765642776,0.0,0.000531067445566,0.0,0.000345542501728
[M-CO]-H-H[C13],0.0,0.0,0.0,0.0,0.0,0.00103662750518
[M-CO]+NH3-H[2C13],0.0,0.0,0.0,0.0,0.0,0.0
[M-CO2]-H-H[C13],0.0,0.0,0.0,0.000531067445566,0.0,0.0
[M-CO]+NH3-H[C13],0.0003885003885,0.0,0.0,0.0,0.000555864369094,0.000691085003455
[M-CO2]+NH3-H[2C13],0.0,0.00170648464164,0.0,0.0,0.0,0.0
[M-H2O]-H-H[C13],0.0,0.0,0.0,0.000531067445566,0.0,0.000691085003455
[2M-H2O]-H[2C13],0.0003885003885,0.0,0.0,0.0,0.0,0.0
[M-H2O]+NH3-H[2C13],0.0,0.0,0.0,0.0,0.0,0.0
[M-H2O]+NH3-H[C13],0.002331002331,0.00170648464164,0.000570125427594,0.0,0.0,0.0
[M-CO]-H-H[2C13],0.0,0.0,0.000570125427594,0.0,0.0,0.0
