mol,M-H,M+Cl,M-2H,[M-CO]-H,[M+CH2O2]-H,M-H[C13],[M+ACN]-H,[M-CH2O2]-H,[M-H2O]-H,[M+NH3]-H,[M-CO2]-H,2M-H,M-H[2C13],[M-C2H2]-H,[M-CH4]-H,[M-C2H2O2]-H,[M-CO]+Cl,[M+CH2O2]+Cl,[M+ACN]+Cl,[M-CH2O2]+Cl,[M-H2O]+Cl,[M+NH3]+Cl,[M-CO2]+Cl,M+Cl[C13],[M-C2H2]+Cl,[M-CH4]+Cl,[M-C2H2O2]+Cl,[M-CO]-2H,[M+CH2O2]-2H,[M+ACN]-2H,[M-CH2O2]-2H,[M-H2O]-2H,[M+NH3]-2H,[M-CO2]-2H,M+Cl[2C13],M-2H[C13],[M-CO]-H[C13],[M+CH2O2]-H[C13],[M+ACN]-H[C13],[M-CH2O2]-H[C13],[M-H2O]-H[C13],[M+NH3]-H[C13],[M-CO2]-H[C13],2M-H[C13],[M-C2H2]-2H,[M-CH4]-2H,[M-C2H2O2]-2H,[2M-CO]-H,[2M+CH2O2]-H,[2M+ACN]-H,[2M-CH2O2]-H,[2M-H2O]-H,[2M+NH3]-H,[2M-CO2]-H,M-2H[2C13],[M-CO]-H[2C13],[M+CH2O2]-H[2C13],[M+ACN]-H[2C13],[M-C2H2]-H[C13],[M-CH4]-H[C13],[M-CH2O2]-H[2C13],[M-H2O]-H[2C13],[M+NH3]-H[2C13],[M-C2H2O2]-H[C13],[M-CO2]-H[2C13],[M-CO]+Cl[C13],[M+CH2O2]+Cl[C13],[M+ACN]+Cl[C13],[M-CH2O2]+Cl[C13],[M-H2O]+Cl[C13],[M+NH3]+Cl[C13],[M-CO2]+Cl[C13],2M-H[2C13],[2M-C2H2]-H,[2M-CH4]-H,[2M-C2H2O2]-H,[M-C2H2]-H[2C13],[M-CH4]-H[2C13],[M-C2H2O2]-H[2C13],[M-CO]+Cl[2C13],[M+CH2O2]+Cl[2C13],[M+ACN]+Cl[2C13],[M-C2H2]+Cl[C13],[M-CH4]+Cl[C13],[M-CH2O2]+Cl[2C13],[M-H2O]+Cl[2C13],[M+NH3]+Cl[2C13],[M-C2H2O2]+Cl[C13],[M-CO2]+Cl[2C13],[M-CO]-2H[C13],[M+CH2O2]-2H[C13],[M+ACN]-2H[C13],[M-CH2O2]-2H[C13],[M-H2O]-2H[C13],[M+NH3]-2H[C13],[M-CO2]-2H[C13],[M-C2H2]+Cl[2C13],[M-CH4]+Cl[2C13],[M-C2H2O2]+Cl[2C13],[M-CO]-2H[2C13],[M+CH2O2]-2H[2C13],[M+ACN]-2H[2C13],[M-C2H2]-2H[C13],[M-CH4]-2H[C13],[M-CH2O2]-2H[2C13],[M-H2O]-2H[2C13],[M+NH3]-2H[2C13],[M-C2H2O2]-2H[C13],[M-CO2]-2H[2C13],[2M-CO]-H[C13],[2M+CH2O2]-H[C13],[2M+ACN]-H[C13],[2M-CH2O2]-H[C13],[2M-H2O]-H[C13],[2M+NH3]-H[C13],[2M-CO2]-H[C13],[M-C2H2]-2H[2C13],[M-CH4]-2H[2C13],[M-C2H2O2]-2H[2C13],[2M-CO]-H[2C13],[2M+CH2O2]-H[2C13],[2M+ACN]-H[2C13],[2M-C2H2]-H[C13],[2M-CH4]-H[C13],[2M-CH2O2]-H[2C13],[2M-H2O]-H[2C13],[2M+NH3]-H[2C13],[2M-C2H2O2]-H[C13],[2M-CO2]-H[2C13],[2M-C2H2]-H[2C13],[2M-CH4]-H[2C13],[2M-C2H2O2]-H[2C13]
Taurine,7.18e+06,,,,,1.57e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicotinate,6.41e+07,,,2.76e+05,,4.29e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyridoxine,8.22e+07,,,,,7.15e+06,,2.96e+05,4.50e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta-Alanine,2.36e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Valine,5.61e+06,,,,,3.38e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glycine,1.13e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenine,2.05e+07,,,,,1.08e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Aminocyclopropane-1-carboxylate,3.29e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creatinine,5.65e+06,,,,,2.80e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Phenylalanine,1.46e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Leucine,9.78e+06,,,,,6.65e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Aminobenzoate,1.58e+07,,,,,1.26e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inosine,1.57e+07,,,,,1.69e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sn-glycero-3-Phosphocholine,2.16e+05,8.35e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meso-2_6-Diaminoheptanedioate,2.26e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Oxoproline,3.15e+06,,,,,,,,,,1.59e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Methionine,9.32e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imidazole-4-acetate,4.26e+06,,,,,,,,,,2.53e+06,2.21e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
