Adduct,STD_MIX2_60stepped_1E5_Top5,STD_MIX3_60stepped_1E5_Top5,STD_MIX1_60stepped_1E5_Top5,Beer_3_Full1,Urine_37_fullscan1_NEG
-CO,0.0138451856514,0.0106824925816,0.0164556962025,0.0181721947777,0.0172620834584
+CH2O2,0.00566393958464,0.00356083086053,0.00443037974684,0.00811573747354,0.00615430801561
none,0.879798615481,0.909792284866,0.884810126582,0.851976005646,0.861903332333
+ACN,0.00314663310258,0.000593471810089,0.00253164556962,0.00917431192661,0.00840588411888
-C2H2,0.00503461296413,0.00356083086053,0.00506329113924,0.00970359915314,0.0111077754428
-C2H2O2,0.00755191944619,0.00415430267062,0.00569620253165,0.014467184192,0.0115580906635
-CH2O2,0.00943989930774,0.00474777448071,0.00949367088608,0.014467184192,0.0102071450015
-H2O,0.0346129641284,0.033234421365,0.0348101265823,0.0291107974594,0.0283698589012
+NH3,0.00251730648206,0.00178041543027,0.00253164556962,0.00846859562456,0.0100570399279
-CH4,0.00943989930774,0.00652818991098,0.00696202531646,0.00988002822865,0.00675472830982
-CO2,0.0289490245437,0.0213649851632,0.0272151898734,0.0264643613267,0.0282197538277
