Transformation,STD_MIX2_60stepped_1E5_Top5,STD_MIX3_60stepped_1E5_Top5,STD_MIX1_60stepped_1E5_Top5,Beer_3_Full1,Urine_37_fullscan1_NEG
M-H,0.247606019152,0.228260869565,0.217567567568,0.2039350406,0.214361140444
2M-H,0.0369357045144,0.0465838509317,0.0486486486486,0.051842598376,0.0625659978881
M-H[C13],0.131326949384,0.11801242236,0.118918918919,0.0983760149906,0.0997888067582
2M-H[C13],0.0109439124487,0.00776397515528,0.0148648648649,0.0131168019988,0.0211193241816
M-H[2C13],0.0191518467852,0.0139751552795,0.0135135135135,0.0224859462836,0.0213833157339
2M-H[2C13],0.0,0.00155279503106,0.00540540540541,0.0053091817614,0.00765575501584
2M-H[3C13],0.0,0.00155279503106,0.00405405405405,0.00218613366646,0.00369588173178
2M-H[4C13],0.0,0.0,0.0,0.0,0.0
M+Cl,0.0205198358413,0.0341614906832,0.0297297297297,0.0274828232355,0.0329989440338
M+Cl[C13],0.0,0.00155279503106,0.0,0.00343535290443,0.00290390707497
[M+ACN]-H,0.0273597811218,0.0201863354037,0.0202702702703,0.0349781386633,0.0332629355861
[2M+CH2O2]-H,0.00273597811218,0.00310559006211,0.00675675675676,0.00843222985634,0.0044878563886
[2M+NH3]-H,0.00273597811218,0.00155279503106,0.00675675675676,0.0053091817614,0.00395987328405
[M+CH2O2]-H,0.0437756497948,0.0248447204969,0.0378378378378,0.0352904434728,0.0295670538543
[M+NH3]-H,0.0177838577291,0.0201863354037,0.0216216216216,0.0312304809494,0.0369588173178
[2M+ACN]-H,0.00410396716826,0.00310559006211,0.00135135135135,0.00624609618988,0.00580781414995
M+Cl[2C13],0.0,0.0,0.0,0.00156152404747,0.0
[2M+ACN]-H[C13],0.0,0.0,0.0,0.000312304809494,0.000527983104541
[M+NH3]-H[C13],0.0,0.0,0.00135135135135,0.00249843847595,0.00131995776135
[2M+NH3]-H[C13],0.0,0.0,0.0,0.000936914428482,0.0
[M+CH2O2]-H[C13],0.0,0.0,0.00405405405405,0.00405996252342,0.00158394931362
[M+ACN]-H[C13],0.00273597811218,0.0,0.00135135135135,0.00499687695191,0.00211193241816
[2M+CH2O2]-H[C13],0.0,0.0,0.0,0.000624609618988,0.000527983104541
[2M-C2H2O2]-H,0.00683994528044,0.0124223602484,0.00945945945946,0.0112429731418,0.0102956705385
[M-C2H2]-H,0.0218878248974,0.0248447204969,0.0256756756757,0.0227982510931,0.0298310454065
[2M-CH4]-H,0.00683994528044,0.00776397515528,0.00135135135135,0.00499687695191,0.00686378035903
[2M-CH2O2]-H,0.00547195622435,0.00621118012422,0.00945945945946,0.00905683947533,0.0071277719113
[2M-CO2]-H,0.0109439124487,0.00931677018634,0.0162162162162,0.0115552779513,0.0108236536431
[M-CH4]-H,0.0246238030096,0.0170807453416,0.0135135135135,0.0234228607121,0.0229672650475
[2M-CO]-H,0.0109439124487,0.00621118012422,0.00675675675676,0.00999375390381,0.00765575501584
[M-C2H2O2]-H,0.0355677154583,0.0357142857143,0.0459459459459,0.0384134915678,0.0319429778247
[M-CH2O2]-H,0.0259917920657,0.0388198757764,0.0364864864865,0.0218613366646,0.022439281943
[M-CO]-H,0.03146374829,0.0326086956522,0.05,0.0346658338538,0.0316789862724
[2M-C2H2]-H,0.00136798905609,0.00155279503106,0.0027027027027,0.00780762023735,0.00871172122492
[M-H2O]-H,0.0574555403557,0.0605590062112,0.0486486486486,0.0340412242349,0.0377507919747
M-2H,0.00136798905609,0.00155279503106,0.00135135135135,0.00187382885696,0.00316789862724
[2M-H2O]-H,0.00957592339261,0.0170807453416,0.0121621621622,0.0109306683323,0.0113516367476
[M-CO2]-H,0.0875512995896,0.0807453416149,0.0567567567568,0.0452841973766,0.0496304118268
[2M+CH2O2]-H[3C13],0.0,0.0,0.0,0.000624609618988,0.0
[2M+NH3]-H[3C13],0.0,0.0,0.0,0.000936914428482,0.0
[2M+CH2O2]-H[4C13],0.0,0.0,0.0,0.0,0.0
[M+CH2O2]-H[2C13],0.0,0.0,0.0,0.0,0.00026399155227
[M+ACN]-H[2C13],0.0,0.0,0.0,0.000624609618988,0.00105596620908
[2M+ACN]-H[3C13],0.0,0.0,0.00135135135135,0.0,0.00026399155227
[M+NH3]-H[2C13],0.0,0.0,0.0,0.0,0.000527983104541
[2M+ACN]-H[4C13],0.0,0.0,0.0,0.0,0.0
[2M+NH3]-H[2C13],0.0,0.0,0.0,0.0,0.00026399155227
[2M+ACN]-H[2C13],0.0,0.0,0.0,0.0,0.00026399155227
[2M+NH3]-H[4C13],0.0,0.0,0.0,0.0,0.0
[2M+CH2O2]-H[2C13],0.0,0.0,0.0,0.0,0.0
[M-CO]-H[C13],0.00136798905609,0.00776397515528,0.0027027027027,0.00655840099938,0.00290390707497
[M-C2H2]-H[C13],0.00136798905609,0.00465838509317,0.00405405405405,0.00249843847595,0.00184794086589
[M-CH4]-H[C13],0.00136798905609,0.00155279503106,0.0,0.00312304809494,0.000791974656811
[M-CH2O2]-H[C13],0.00273597811218,0.00310559006211,0.0027027027027,0.00249843847595,0.00211193241816
[M-H2O]-H[C13],0.00683994528044,0.00155279503106,0.00945945945946,0.00624609618988,0.00290390707497
[2M-H2O]-H[C13],0.00273597811218,0.00155279503106,0.0027027027027,0.00218613366646,0.00131995776135
[M-C2H2O2]-H[C13],0.00410396716826,0.00776397515528,0.00405405405405,0.00905683947533,0.00237592397043
[2M-CH2O2]-H[C13],0.00136798905609,0.0,0.0,0.000624609618988,0.00026399155227
[2M-C2H2]-H[C13],0.0,0.0,0.00135135135135,0.00124921923798,0.000527983104541
[2M-CH4]-H[C13],0.0,0.00155279503106,0.0,0.000624609618988,0.000527983104541
M-2H[C13],0.0,0.0,0.0,0.000624609618988,0.00158394931362
[2M-C2H2O2]-H[C13],0.00136798905609,0.00155279503106,0.00135135135135,0.00156152404747,0.00105596620908
[M-CO2]-H[C13],0.0177838577291,0.0139751552795,0.0121621621622,0.00687070580887,0.00501583949314
[2M-CO]-H[C13],0.00273597811218,0.00155279503106,0.0,0.00124921923798,0.00105596620908
[2M-CO2]-H[C13],0.0,0.00155279503106,0.0027027027027,0.00124921923798,0.00158394931362
[M+ACN]+Cl,0.00683994528044,0.00465838509317,0.0027027027027,0.00874453466583,0.0071277719113
[M+CH2O2]+Cl,0.0,0.00465838509317,0.00675675675676,0.00499687695191,0.00659978880676
[M+NH3]+Cl,0.00410396716826,0.00776397515528,0.00540540540541,0.00936914428482,0.00818373812038
[2M-CH4]-H[4C13],0.0,0.0,0.0,0.0,0.0
[M-CO]-H[2C13],0.0,0.0,0.0,0.00218613366646,0.000527983104541
[M-C2H2]-H[2C13],0.0,0.0,0.0,0.000624609618988,0.0
[M-CH4]-H[2C13],0.00136798905609,0.0,0.0,0.0,0.0
[M-CH2O2]-H[2C13],0.0,0.0,0.00135135135135,0.0,0.00026399155227
[M-H2O]-H[2C13],0.00273597811218,0.0,0.0,0.000936914428482,0.00026399155227
[2M-CO2]-H[4C13],0.0,0.0,0.0,0.0,0.0
[2M-C2H2]-H[2C13],0.0,0.0,0.0,0.0,0.0
[2M-C2H2]-H[3C13],0.0,0.0,0.0,0.000624609618988,0.00026399155227
M-2H[2C13],0.0,0.0,0.0,0.0,0.00026399155227
[M-C2H2O2]-H[2C13],0.0,0.0,0.00135135135135,0.00124921923798,0.000527983104541
[M-CO2]-H[2C13],0.00136798905609,0.00310559006211,0.00135135135135,0.00156152404747,0.00131995776135
[2M-C2H2]-H[4C13],0.0,0.0,0.0,0.0,0.0
[2M-H2O]-H[2C13],0.0,0.0,0.0,0.000312304809494,0.00026399155227
[2M-CH2O2]-H[2C13],0.0,0.0,0.0,0.0,0.00026399155227
[2M-CH4]-H[2C13],0.0,0.0,0.0,0.0,0.0
[2M-CO2]-H[2C13],0.0,0.00155279503106,0.00405405405405,0.000624609618988,0.000791974656811
[2M-C2H2O2]-H[3C13],0.0,0.0,0.0,0.0,0.0
[2M-H2O]-H[3C13],0.0,0.0,0.0,0.0,0.000527983104541
[2M-CO2]-H[3C13],0.0,0.0,0.0,0.000312304809494,0.0
[2M-CH2O2]-H[3C13],0.0,0.00155279503106,0.00135135135135,0.0,0.0
[2M-H2O]-H[4C13],0.0,0.0,0.0,0.0,0.0
[2M-CO]-H[2C13],0.0,0.0,0.0,0.000312304809494,0.00026399155227
[2M-CH4]-H[3C13],0.0,0.0,0.0,0.000312304809494,0.00026399155227
[2M-CO]-H[3C13],0.00136798905609,0.0,0.0,0.000312304809494,0.00026399155227
[2M-CO]-H[4C13],0.0,0.0,0.0,0.0,0.0
[2M-C2H2O2]-H[4C13],0.0,0.0,0.0,0.0,0.0
[2M-CH2O2]-H[4C13],0.0,0.0,0.0,0.0,0.0
[2M-C2H2O2]-H[2C13],0.00136798905609,0.0,0.00135135135135,0.000624609618988,0.000527983104541
[M+CH2O2]+Cl[C13],0.0,0.0,0.0,0.0,0.0
[M+ACN]+Cl[C13],0.0,0.0,0.0,0.000936914428482,0.000527983104541
[M+NH3]+Cl[C13],0.0,0.0,0.0,0.0,0.0
[M-CH4]+Cl,0.00136798905609,0.00465838509317,0.00405405405405,0.00281074328545,0.00184794086589
[M-CO]+Cl,0.00136798905609,0.00155279503106,0.00135135135135,0.00718301061836,0.00818373812038
[M-C2H2O2]+Cl,0.00273597811218,0.0,0.00135135135135,0.00811992504685,0.00686378035903
[M-H2O]+Cl,0.00683994528044,0.0108695652174,0.00810810810811,0.00718301061836,0.00607180570222
[M-CO2]+Cl,0.00136798905609,0.00776397515528,0.0027027027027,0.00874453466583,0.00844772967265
[M-C2H2]+Cl,0.00410396716826,0.00465838509317,0.00405405405405,0.00343535290443,0.00527983104541
[M-CH2O2]+Cl,0.0,0.00621118012422,0.00810810810811,0.00562148657089,0.00501583949314
[M+CH2O2]+Cl[2C13],0.0,0.0,0.0,0.0,0.0
[M+ACN]+Cl[2C13],0.00136798905609,0.0,0.0,0.000312304809494,0.00026399155227
[M+NH3]+Cl[2C13],0.0,0.0,0.0,0.000624609618988,0.0
[M-C2H2]+Cl[C13],0.0,0.0,0.0,0.0,0.0
[M-CH4]+Cl[C13],0.0,0.0,0.00135135135135,0.0,0.00026399155227
[M-CH2O2]+Cl[C13],0.0,0.0,0.00135135135135,0.000624609618988,0.000527983104541
[M-H2O]+Cl[C13],0.0,0.0,0.0,0.0,0.00026399155227
[M-C2H2O2]+Cl[C13],0.0,0.0,0.0,0.000936914428482,0.0
[M-CO2]+Cl[C13],0.00136798905609,0.00155279503106,0.0,0.00124921923798,0.00105596620908
[M-CO]+Cl[C13],0.0,0.00155279503106,0.0,0.000312304809494,0.000527983104541
[M+NH3]-2H,0.00136798905609,0.00155279503106,0.0,0.00156152404747,0.00105596620908
[M+CH2O2]-2H,0.00273597811218,0.0,0.00135135135135,0.00124921923798,0.00237592397043
[M+ACN]-2H,0.0,0.00155279503106,0.0,0.000936914428482,0.00158394931362
[M-CO]+Cl[2C13],0.0,0.0,0.0,0.000936914428482,0.00026399155227
[M-C2H2]+Cl[2C13],0.0,0.0,0.0,0.000312304809494,0.0
[M-CH4]+Cl[2C13],0.0,0.0,0.0,0.0,0.000527983104541
[M-CH2O2]+Cl[2C13],0.0,0.0,0.0,0.000312304809494,0.0
[M-H2O]+Cl[2C13],0.0,0.0,0.0,0.0,0.0
[M-C2H2O2]+Cl[2C13],0.0,0.0,0.0,0.0,0.00026399155227
[M-CO2]+Cl[2C13],0.0,0.0,0.0,0.000936914428482,0.000527983104541
[M+NH3]-2H[C13],0.0,0.0,0.0,0.0,0.0
[M+CH2O2]-2H[C13],0.0,0.0,0.0,0.0,0.000527983104541
[M+ACN]-2H[C13],0.0,0.0,0.0,0.0,0.00026399155227
[M-CH2O2]-2H,0.00273597811218,0.0,0.0,0.00124921923798,0.000527983104541
[M-C2H2]-2H,0.0,0.0,0.0,0.000312304809494,0.00211193241816
[M-CO2]-2H,0.00136798905609,0.00155279503106,0.0,0.00124921923798,0.00131995776135
[M-CH4]-2H,0.0,0.0,0.0,0.00124921923798,0.00131995776135
[M-H2O]-2H,0.00136798905609,0.00465838509317,0.00135135135135,0.00312304809494,0.00131995776135
[M-C2H2O2]-2H,0.00136798905609,0.00155279503106,0.0,0.00124921923798,0.00237592397043
[M-CO]-2H,0.0,0.0,0.0027027027027,0.00281074328545,0.00105596620908
[M+NH3]-2H[2C13],0.0,0.0,0.0,0.0,0.0
[M+CH2O2]-2H[2C13],0.0,0.0,0.0,0.0,0.0
[M+ACN]-2H[2C13],0.0,0.0,0.0,0.0,0.0
[M-CH2O2]-2H[C13],0.0,0.0,0.0,0.000312304809494,0.000527983104541
[M-H2O]-2H[C13],0.0,0.0,0.00135135135135,0.0,0.00026399155227
[M-C2H2O2]-2H[C13],0.0,0.0,0.0,0.0,0.0
[M-CO2]-2H[C13],0.0,0.0,0.0,0.0,0.0
[M-CO]-2H[C13],0.0,0.0,0.0,0.0,0.000527983104541
[M-C2H2]-2H[C13],0.0,0.0,0.0,0.0,0.00026399155227
[M-CH4]-2H[C13],0.0,0.0,0.0,0.0,0.0
[M-CH2O2]-2H[2C13],0.0,0.0,0.0,0.0,0.0
[M-C2H2O2]-2H[2C13],0.0,0.0,0.0,0.0,0.0
[M-CO2]-2H[2C13],0.0,0.0,0.0,0.0,0.0
[M-H2O]-2H[2C13],0.0,0.0,0.0,0.0,0.0
[M-CO]-2H[2C13],0.0,0.0,0.0,0.0,0.0
[M-C2H2]-2H[2C13],0.0,0.0,0.0,0.0,0.0
[M-CH4]-2H[2C13],0.0,0.0,0.0,0.0,0.0
