Adduct,STD_MIX2_60stepped_1E5_Top5,STD_MIX3_60stepped_1E5_Top5,STD_MIX1_60stepped_1E5_Top5,Beer_3_Full1,Urine_37_fullscan1_POS
-CO,0.0226055919096,0.0241837968561,0.0146590184831,0.0153885285514,0.0144833829044
+CH2O2,0.00773349196907,0.0120918984281,0.0057361376673,0.00864809869007,0.00594853226432
none,0.834027364664,0.834340991536,0.841300191205,0.828182627496,0.857235225656
+ACN,0.00892325996431,0.00725513905683,0.0101975780752,0.0120819025817,0.0113798008535
-C2H2,0.0130874479477,0.0114873035067,0.0121096239643,0.0192038662088,0.0139661192293
-CH2O2,0.0130874479477,0.0169286577993,0.0178457616316,0.017550553224,0.015388594336
+CH3OH,0.0118976799524,0.0157194679565,0.0101975780752,0.0137352155666,0.0111211690159
-NH3,0.0255800118977,0.0241837968561,0.0312300828553,0.0244181610072,0.0250872882452
-H2O,0.0398572278406,0.0356711003628,0.0427023581899,0.0376446648862,0.0289667658089
+NH3,0.0232004759072,0.0181378476421,0.0140216698534,0.0231463817881,0.0164231216863
