Transformation,STD_MIX2_60stepped_1E5_Top5,STD_MIX3_60stepped_1E5_Top5,STD_MIX1_60stepped_1E5_Top5,Beer_3_Full1,Urine_37_fullscan1_POS
M+H,0.35360678925,0.335320417288,0.347496206373,0.333060779504,0.36080430473
M+K,0.016973125884,0.0134128166915,0.0333839150228,0.0482420278005,0.0515434721042
M+Na,0.0594059405941,0.0447093889717,0.0576631259484,0.0528754429,0.0484282073067
M+2H,0.00565770862801,0.00447093889717,0.00606980273141,0.00763150722268,0.0121778532993
M+H[C13],0.137199434229,0.157973174367,0.130500758725,0.138729899155,0.164542622487
[M-CH2O2]+H,0.024045261669,0.0283159463487,0.0333839150228,0.0182611065685,0.0189747946757
[M+CH3OH]+H,0.016973125884,0.026825633383,0.0121396054628,0.0111747070046,0.0104786179553
[M+CH2O2]+H,0.00848656294201,0.016393442623,0.01062215478,0.00708639956391,0.00566411781365
[M+ACN]+H,0.012729844413,0.0134128166915,0.0136570561457,0.0119923684928,0.0150099122062
[M-H2O]+H,0.0721357850071,0.0685543964232,0.0834597875569,0.0556009811938,0.0402152364769
[M-NH3]+H,0.043847241867,0.0402384500745,0.0500758725341,0.022894521668,0.0266213537242
[M+NH3]+H,0.036775106082,0.0312965722802,0.0257966616085,0.0204415372036,0.0172755593316
[M-C2H2]+H,0.016973125884,0.0149031296572,0.00910470409712,0.0218043063505,0.0135938827528
[M-CO]+H,0.039603960396,0.043219076006,0.0212443095599,0.0147179067866,0.016992353441
2M+H,0.00565770862801,0.0104321907601,0.0121396054628,0.00517852275824,0.00792976493911
M+H[2C13],0.019801980198,0.0149031296572,0.0166919575114,0.0193513218861,0.0215236476919
M+Na[C13],0.00565770862801,0.00745156482861,0.0136570561457,0.0103570455165,0.00594732370433
M+K[C13],0.001414427157,0.0,0.0,0.00926683019896,0.00877938261116
[M+NH3]+Na,0.001414427157,0.00298062593145,0.00151745068285,0.00844916871082,0.0048145001416
[M-CH2O2]+Na,0.002828854314,0.00596125186289,0.0,0.00926683019896,0.0065137354857
[M+CH2O2]+K,0.002828854314,0.00298062593145,0.0,0.00136276914691,0.0016992353441
[M-H2O]+Na,0.00565770862801,0.0,0.00455235204856,0.00708639956391,0.00736335315775
[M-NH3]+Na,0.00707213578501,0.00596125186289,0.01062215478,0.0122649223222,0.00991220617389
[M-C2H2]+K,0.002828854314,0.00149031296572,0.00455235204856,0.00272553829381,0.00368167657887
[M+CH3OH]+K,0.001414427157,0.0,0.00303490136571,0.00327064595258,0.00283205890683
[M-H2O]+K,0.0,0.00149031296572,0.0,0.00163532297629,0.00113282356273
[M-CH2O2]+K,0.0,0.0,0.00151745068285,0.00408830744072,0.00254885301614
[M-NH3]+K,0.001414427157,0.00298062593145,0.00758725341426,0.0109021531753,0.0135938827528
[M-CO]+K,0.002828854314,0.00447093889717,0.0,0.00245298446443,0.00311526479751
[M+CH3OH]+Na,0.00707213578501,0.0104321907601,0.00303490136571,0.0103570455165,0.00594732370433
[M-CO]+Na,0.00565770862801,0.00596125186289,0.00910470409712,0.00953938402835,0.00679694137638
[M-C2H2]+Na,0.00707213578501,0.0104321907601,0.0136570561457,0.00790406105206,0.00849617672048
[M+CH2O2]+Na,0.004243281471,0.0104321907601,0.00151745068285,0.00545107658763,0.00311526479751
[M+ACN]+K,0.0,0.0,0.0,0.00272553829381,0.000849617672048
[M+NH3]+K,0.001414427157,0.0,0.0,0.00218043063505,0.00226564712546
[M+ACN]+Na,0.002828854314,0.0,0.00455235204856,0.00408830744072,0.00283205890683
M+Na[2C13],0.0,0.0,0.0,0.00163532297629,0.00113282356273
M+K[2C13],0.0,0.0,0.0,0.000817661488144,0.000566411781365
M+2H[C13],0.0,0.0,0.00151745068285,0.00136276914691,0.00198244123478
[M+CH2O2]+2H,0.001414427157,0.0,0.0,0.00163532297629,0.00113282356273
[M-H2O]+2H,0.001414427157,0.00149031296572,0.00151745068285,0.00190787680567,0.00254885301614
[M+NH3]+H[C13],0.011315417256,0.00596125186289,0.00303490136571,0.00817661488144,0.00594732370433
[M+CH3OH]+2H,0.002828854314,0.0,0.00455235204856,0.00218043063505,0.00254885301614
[M+NH3]+2H,0.0,0.00149031296572,0.0,0.00299809212319,0.0016992353441
